device_model
s3ve3g
TB3-850F
altev
ASUS_Z00VD
hlte
j5xnlte
p4notewifiww
osprey_u2
hero2lte
v1awifi
HWFRD
gts28lte
elsa
p1
lt03lte
harpia
HWCAN
kminilte
yellowtail
trlte
j7e3g
OUKITEL
E6853
s5neolte
OnePlus2
NX529J
greatlte
E6653
herolte
D6503
j5y17lte
lt03wifi
ASUS_Z00L_63
zeroflte
j3xnlte
A7600-H
peregrine
HWEVA
mm1vn
m216n
bullhead
mproject3g
awifi
VFD700
klte
HWVNS-H
lux_uds
dream2lte
h1
dreamlte
"PhonePad Duo"
hammerhead
P01T_1
matissevewifi
gt510lte
g3
SGP312
wiko
TB2-X30L
tenshi
ac50dis
grandprimelte
YT-X703L
hwALE-H
ASUS_Z00E_4
"iPhone6,2"
p4noterf
j7xelte
F5321
"iPhone9,3"
z2_plus_hw
NE1
potter_n
"iPhone8,1"
a7alte
a5ulte
HWVKY
baffinlite
"iPad6,4"
matisselte
gts210velte
"iPhone7,2"
NULL
angler
GS170
a5y17lte
klimtlte
zenlte
"iPad4,2"
milletlte
RM-984_1051
"iPhone5,4"
hwRIO-L01
RM-975_1061
a3ulte
hwY530-U00
D6502
gts210lte
RM-1072_1047
gtelwifi
heatqlte
Z00A
gts210wifi
ASUS_Z00D
manta
gtexswifi
gt510wifi
a5xelte
RM-1152_15861
"iPhone5,2"
espressowifi
"iPhone8,4"
PIXI4_5_4G
"iPhone8,2"
RM-1152_15672
RM-1064_1045
x16plus_d3a5
Aquaris_M10
mickey6
D2303
RM-941_eu_italy_221
dream2qltesq
kona3g
hllte
HWPRA-H
RM-1072_1011
HWSLA-Q
D5803
RM-976_1098
PRO5
P4901AC
3354A68
HWPLK
NX505J
P00C_2
generic_x86
gtaxllte
m7
RM-1062_1012
corona
me1
j5nlte
HWVTR
F5121
lt01wifi
RM-846_eu_italy_231
x3_row
80E5
on7xelte
"To be filled by O.E.M."
kltespr
HWWAS-H
RM-1085_12547
grouper
RM-976_1053
RM-914_eu_italy_283
"iPhone9,2"
gtaxlwifi
hct6735m_35gu_l1
OnePlus3T
htc_pmeuhl
"iPhone10,5"
HWLON
ASUS_Z017D_1
lux
"iPhone9,4"
a3xelte
deb
HWCRR
HWMHA
z2_row
clark
goyave3gsea
"iPhone7,1"
"Aspire ES1-523"
RM-1045_1060
HWLYO-L6735
RM-1152_15508
p4notelte
E506plus
zerolte
ASUS_Z012D
"iPhone9,1"
"Xbox One"
Mars_pro
hennessy
RM-1104_11210
RM-1127_15439
S1a40
gts3llte
Pixi3-10_WiFi
noblelte
OnePlus3
RM-1141_1015
ASUS_X008_1
RM-821_eu_italy_310
HWTAG-L6753
P024_1
HWGRA
cedric
flounder
golden
hwmt7
RM-1089_1028
ido
hwG7-L01
htc_a32ul_emea
htc_m8
F0B100KRIX
RM-974_1176
j3y17lte
P5E3
HNNEM-H
meri
RM-1085_13829
RM-976_1096
a3y17lte
markw
v12bnlite
P01Y
l5460
ZP951
T100TAF
"iPad2,2"
nikel
3493KAG
arubaslimss
RM-875_eu_italy_330
"Presario CQ58 Notebook PC"
mondrianlte
gt58lte
sailfish
hwp7
chagalllte
ASUS_X00HD_1
X9
HWMYA-L6737
hct6735m_35gu_l
gt58wifi
RM-1045_1030
RM-941_eu_italy_295
X540LJ
jfvelte
lifetab_s1034x
coreprimevelte
RM-1089_1027
grandneove3g
p7201
"iPhone6,1"
"iPad5,4"
tiffany
YT3-X50L
MEIZU_M5
P021
RM-875_eu_italy_237
athene_f
greatqlte
Chrome
RM-1085_13841
hi6210sft
RM-1104_13948
ghost
hermes
rolex
HWVIE
"HP Notebook"
RM-1038_1028
santos10wifi
v3720
z2
grandprimevelte
trelte
j1xlte
RM-1067_1023
510-p116nl
NGM-Harley_Davidson
heroqltevzw
VFD510
HWSTF
on5xelte
A7600-F
Forward_Prime
ME302KL
HWY540-U
v10
RM-1045_1013
ac50po
HM2014818
HWBLN-H
RM-1066_1002
gts28velte
m0
E402NA
"iPad6,8"
RM-978_1048
calypso
HWRNE
htc_hiaeuhl
"iPad5,3"
gtel3g
RM-1017_1023
ASUS_Z00E_1
E5823
RM-984_1061
"iPad6,11"
"iPad2,5"
matissewifi
le_x2_na
hwCHC-H
j3xlte
80S2
acer_harley
hct6753_65u_m0
F8131
ASUS_T00P
mk6pn
PhonePad
HWY560-L
"Inspiron 3264 AIO"
HWCAM-H
smart_speed
vanzo95_lwt_ds_kk
ASUS_X00DD
"HP 250 G4 Notebook PC"
Z01B_1
RM-1077_1024
E2303
br6580_weg_emmc_m
F3211
sagit
RM-1152_15879
R1_HD
"iPad4,5"
P635A20
VFD610
HWAGS-Q
hwbeethoven
"iPhone10,3"
lifetab_p831x
espresso10rf
POP455C
jflte
m2
ASUS_Z00L_93
alicee
j7elte
namath
HWMLA
RM-1077_1018
"Surface Pro 4"
E5603
TBW5705A10
athene
VFD1400
omega
TB3-730X
P6601AE
lt02wifi
"iPhone10,6"
HWBLA
s7_4g
T101HA
RM-914_eu_italy_215
RM-984_1053
HWBND-H
"iPad5,1"
payton
RM-1038_1012
HNKIW-Q
Pixi4-6_3G
OnePlus5
